<relative> שׁ
disquieting thoughts שׂרעפים
break out שׂתר
Siphmoth שׂפמות
intertwine שׂרג
tattoo שׂרטת
serpent שׂרף
cover שׂפן
red chalk שׂרד
Sarai שׂרי
Saraph שׂרף
plenty שׂפק
cord שׂרד
tendril שׂריג
burn שׂרף
<uncertain> שׂפק
run away שׂרד
survivor שׂריד
burning שׂרפה
suffice שׂפק
mistress שׂרה
Sarid שׂריד
grape שׂרק
clap hands שׂפק
Sarah שׂרה
Seraiah שׂריה
bright red שׂרק
sack שׂק
contend שׂרה
Seraiah שׂריהו
Sorek שׂרק 
